assignment_index,source_inscription_id,destination_address,drop_file,drop_metadata_source,drop_title,drop_ink_status,drop_radius,drop_noise_amp,drop_c_offset_0,drop_c_offset_1,drop_m_offset_0,drop_m_offset_1,drop_y_offset_0,drop_y_offset_1,drop_k_offset_0,drop_k_offset_1
15,fd63e010579d69af0b06b727c8b296518eda002a4133397dd1fa95a696d09284i1,bc1pld0m4d6e23uk8sg9rl7uac953dgt88l5rdlr8nhxyadwd67s0tqsrwkmem,./inscribed.html,fbab7ffde03428ed7c11dc268605241b6e33ea212229b03fb1d8f21e289fae54i0,Triumph of Bitcoin,0,2.29,2.16e-06,0.000989,-0.00342,-0.00123,-0.00252,-0.0049,0.00138,20000,20000
16,f8a8dd03664aa5ccb5cb47d5d34727f521eeec2dd23c5fc0f825b0dbabf42966i2,bc1pp3qy2cdpldezkcmx3sclzz5eqnmlm768xn5p50jtvsy62w7mvgqqpmyz9q,./inscribed.html,fbab7ffde03428ed7c11dc268605241b6e33ea212229b03fb1d8f21e289fae54i0,Triumph of Bitcoin,0,2.58,3.93e-05,0.00116,0.00318,0.00735,0.00534,-0.00396,0.00262,20000,20000
17,da47dec3809476874fa1887bbaa9d1a719a9aa70ddc238f233ed6d0e761eff69i3,bc1parnjr655yk4gd22s8gx8q632shg43es0r8d7t4aeykpjrnyytd9snapdp2,./inscribed.html,fbab7ffde03428ed7c11dc268605241b6e33ea212229b03fb1d8f21e289fae54i0,Triumph of Bitcoin,0,2.04,1.1e-05,-0.00129,0.00414,-0.000835,0.00194,0.000264,-0.00026,20000,20000
18,708a8b03c48b0744a3a2e6adfe4dbfb6180bcc775e8279877b374db53403d0d5i0,bc1pj3z58dcvcwfpmr6gvsxf8az80ezuw8cty3694fwlxx9fk65csqgsvmc6qc,./inscribed.html,fbab7ffde03428ed7c11dc268605241b6e33ea212229b03fb1d8f21e289fae54i0,Triumph of Bitcoin,3,2.19,1.35e-05,0.0449,-0.0343,0.00536,0.00332,0.00239,-0.000678,20000,20000
19,2fec9eb3234dc2fe225a9813056c83d927d8f4805b01867a0bc7a3ee6cd81968i0,bc1p626uf4jxmjry8tnujrqzddqdclrjjzrzg682wgqcugdkexy966jsmy8vaa,./inscribed.html,fbab7ffde03428ed7c11dc268605241b6e33ea212229b03fb1d8f21e289fae54i0,Triumph of Bitcoin,4,2.1,3.26e-06,-0.00332,0.000572,-0.000326,0.00266,-0.000581,-0.00445,20000,20000
20,708a8b03c48b0744a3a2e6adfe4dbfb6180bcc775e8279877b374db53403d0d5i6,bc1py4sk9yuumgeu3zky9nktcymhpfvv9kjk6heph8fx0wdd8xdc534qvhur3x,./inscribed.html,fbab7ffde03428ed7c11dc268605241b6e33ea212229b03fb1d8f21e289fae54i0,Triumph of Bitcoin,0,2.13,1.94e-05,-0.00361,0.000372,-0.003,-0.00244,-0.00357,0.00346,20000,20000
21,6592afd703ff8fc1e3cb50a98bfac2b05b057d6aed2e1e1cb51e7466f1e0603ci7,bc1pj6pjh6pzkuxyczkqyfxvvw00w9tjmpmc5a4mccj2g94pe407ufcqd9jqep,./inscribed.html,fbab7ffde03428ed7c11dc268605241b6e33ea212229b03fb1d8f21e289fae54i0,Triumph of Bitcoin,0,2.44,1.61e-05,-0.00127,-0.00241,0.00338,0.00341,-0.00386,-0.00164,20000,20000
22,de138102756697f532fa87a4a4a5acd0b156f9983d2814d8bbb6038057e24a3ei0,bc1p44ka9smp276xevqj6h3gmc89euykwzqzrzf88ry6cc8a7cvs0weqag9t59,./inscribed.html,fbab7ffde03428ed7c11dc268605241b6e33ea212229b03fb1d8f21e289fae54i0,Triumph of Bitcoin,0,2.1,7.71e-06,0.0016,-0.00158,0.00102,0.00305,-0.00171,0.00549,20000,20000
23,cfee628a98a4391a9bc0a870c4a25c0b094bd716e1143e806074022968f1ce46i4,bc1pplq0uj6h93apg4xkwkq64ausk6576f4aj57kzxsu42gk9yg5xwyq006zcg,./inscribed.html,fbab7ffde03428ed7c11dc268605241b6e33ea212229b03fb1d8f21e289fae54i0,Triumph of Bitcoin,0,2.18,2.04e-06,0.00133,-0.00484,0.0045,-4.34E-05,-0.000266,0.00234,20000,20000
24,fd63e010579d69af0b06b727c8b296518eda002a4133397dd1fa95a696d09284i2,bc1p3fa7mx4f3s9yyj6fcvcurw0qlk5h4nay0f9senqetcczfzpqjr2qq7znz0,./inscribed.html,fbab7ffde03428ed7c11dc268605241b6e33ea212229b03fb1d8f21e289fae54i0,Triumph of Bitcoin,0,1.92,1.12e-05,-0.0038,0.00208,-0.00294,0.00427,-0.00404,0.000412,20000,20000
